10:41:48.231 [ApplicationImpl pooled thread 33] INFO  c.b.l.BrowserStackRunExtension - cucumber java
10:41:48.233 [ApplicationImpl pooled thread 33] INFO  com.browserstack.utils.Helpers - null
10:41:48.234 [ApplicationImpl pooled thread 33] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
10:42:01.918 [ApplicationImpl pooled thread 23] INFO  c.b.l.BrowserStackRunExtension - junit
10:42:01.918 [ApplicationImpl pooled thread 23] INFO  com.browserstack.utils.Helpers - null
10:42:01.920 [ApplicationImpl pooled thread 23] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
10:45:39.000 [ApplicationImpl pooled thread 50] INFO  c.b.l.BrowserStackRunExtension - junit
10:45:39.001 [ApplicationImpl pooled thread 50] INFO  com.browserstack.utils.Helpers - null
10:45:39.001 [ApplicationImpl pooled thread 50] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
10:46:37.117 [ApplicationImpl pooled thread 33] INFO  c.b.l.BrowserStackRunExtension - junit
10:46:37.117 [ApplicationImpl pooled thread 33] INFO  com.browserstack.utils.Helpers - null
10:46:37.119 [ApplicationImpl pooled thread 33] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
